,country,simple
0,Angola,Angola
1,Benin,Benin
2,Botswana,Botswana
3,Burkina Faso,Burkina Faso
4,Burundi,Burundi
5,Cameroon,Cameroon
6,Cape Verde,Cape Verde
7,Central African Republic,Central African Republic
8,Chad,Chad
9,Comoros,Comoros
10,Cote D'Ivoire,Cote D'Ivoire
11,Democratic Republic Of The Congo,Congo
12,Djibouti,Djibouti
13,Equatorial Guinea,Equatorial Guinea
14,Eritrea,Eritrea
15,Ethiopia,Ethiopia
16,Gabon,Gabon
17,Ghana,Ghana
18,Guinea,Guinea
19,Guinea-Bissau,Guinea-Bissau
20,Kenya,Kenya
21,Lesotho,Lesotho
22,Liberia,Liberia
23,Madagascar,Madagascar
24,Malawi,Malawi
25,Mali,Mali
26,Mauritania,Mauritania
27,Mauritus,Mauritius
28,Mozambique,Mozambique
29,Namibia,Namibia
30,Niger,Niger
31,Nigeria,Nigeria
32,Republic of Congo,Congo
33,Rwanda,Rwanda
34,Sao Tome and Principe,Sao Tome and Principe
35,Senegal,Senegal
36,Seychelles,Seychelles
37,Sierra Leone,Sierra Leone
38,Somalia,Somalia
39,South Africa,South Africa
40,Sudan,Sudan
41,Swaziland,Swaziland
42,Tanzania,Tanzania
43,The Gambia,Gambia
44,Togo,Togo
45,Uganda,Uganda
46,Zambia,Zambia
47,Zimbabwe,Zimbabwe
48,Australia,Australia
49,Brunei,Brunei
50,Burma,Myanmar
51,Cambodia,Cambodia
52,China,China
53,Democratic People's Republic of Korea,North Korea
54,Federated States of Micronesia,Micronesia
55,Fiji,Fiji
56,Hong Kong,Hong Kong
57,Indonesia,Indonesia
58,Japan,Japan
59,Kiribati,Kiribati
60,Laos,Laos
61,Macau,Macau
62,Malaysia,Malaysia
63,Marshall Islands,Marshall Islands
64,Mongolia,Mongolia
65,Nauru,Nauru
66,New Zealand,New Zealand
67,Palau,Palau
68,Papua New Guinea,Papua New Guinea
69,Philippines,Philippines
70,Republic of Korea,South Korea
71,Singapore,Singapore
72,Slovenia,Slovenia
73,Solomon Islands,Solomon Islands
74,Somoa,Somoa
75,Taiwan,Taiwan
76,Thailand,Thailand
77,Tonga,Tonga
78,Tuvalu,Tuvalu
79,Vanuatu,Vanuatu
80,Vietnam,Vietnam
81,Albania,Albania
82,Andorra,Andorra
83,Armenia,Armenia
84,Austria,Austria
85,Azerbaijan,Azerbaijan
