country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,,,,,,,97.3,,,98
Algeria,,,,,,,,,,,,,63.4,,,,,,,,,,,,,,,79.6,,,,81.3,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,82.9,,,,,,,,,,82.6
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,,,,,,,,,,98.4
Argentina,,,,,,94.3,,,,,,,,,,,96.2,,,,,,,,,,97.2,,,,,,,,,,97.8
Armenia,,,,,,,,,,,,,,,99.4,,,,,,,,,,,,99.7,,,,,,,,,,99.7
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,99.8,,99.8,,
Bahrain,,,,,,,76.5,,,,,,,,,,88.5,,,,,,,,,,88.5,,,,,,,,,96.1,
Bangladesh,,,,,,,39.7,,,,,,,,,,44.3,,,,,,,,,,53.9,,,,,,,,,,62
Belarus,,,,,,,,,,,,,,,99.4,,,,,,,,,,99.8,,,,,,,,,,99.8,,
Belize,,,,,,,,,,,,,,,,,70.3,,,,,,,,,,,,,,,,,,,,
Benin,,,,,25.2,,,,,,,,,,,,,39.9,,,,,,,,,,47.9,,,,40.6,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,
Bolivia,,75.8,,,,,,,,,,,,,,,,88.2,,,,,,,,,93.1,,,,,,96,95,95.8,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,99.5
Botswana,,,,,,,,,,,,,,,,,65.4,,,,,,,,,,,,80.4,,,,,,,,84.6
Brazil,,,,,,76.4,,,,,,,,,,,,,,,,,,,,86.2,,,,88.4,,89.3,89.8,89.8,90.2,90.1,
Brunei,,,,,,,85.2,,,,,,,,,,92.5,,,,,,,,,,95.2,,,,,,,,,,97
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,,,,,,,,,,98.8
Burkina Faso,14.5,,,,,,,,,,,,,,,,19.6,,,,,18.5,,,,,,,29.4,,31.4,,36.7,,,,
Burundi,,,,,34.3,,,,,,,,,,,48.2,,,,,,,,,,67.3,,,,,,,,88.8,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,79.5,,,,,,84.7,,,,85.1,82.8,,
Cameroon,,54.6,,,,,,,,,,,,,,,,,,,,,,,,79.2,,,,,,,79,,,78.3,
Cape Verde,,,,,,,,,,,,,,,,74.8,,,,,,,,,,,,,,86.4,,,,,,,89.8
Central African Republic,29.6,,,,,,,,,,,,,48,,,,,,,,,,,,66.8,,,,,,,,,,,69.6
Chad,,,,,,,,,,,,,,,,,,,18.3,,,,,,,40.8,,,,39.4,,,,,,,45.6
Chile,,,,,,,,91.5,,,,,,,,,,94.6,,,,,,,,,,95.8,,,,,,98.6,98.6,,
China,,,,,,,,79.2,,,,,,,,87,,,,,,,,,,95.1,,,,,,,,,,97.5,
Colombia,,,,,,,,,,,,,,,,,,,81.5,,,91.1,,,,,,,,92.9,92.8,92.4,92.4,93.3,93.1,93.3,93.5
Comoros,,,,,,56,,,,,,,,,,,,,,,,,,,,74.5,,,,,,,,,,,80.5
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,,,,,,76.9,,,,
Costa Rica,,,,,,,,,,92.7,,,,,,,,,,,,,,,,94.7,,,,,,,,,,,96
Cote d'Ivoire,,,,,,,,,,,,,,44.4,,,,,,,,,,44,,60.9,,,,,,,,,,,65.6
Croatia,,,,,,,,,,,,,,,,,98.8,,,,,,,,,,99.3,,,,,,,,,,99.5
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,99.8
Cyprus,,,,,,,,,,,,,,,,,,97.8,,,,,,,,,98.6,,,,,,,,,,99.3
Dominican Republic,,,,,,,73.6,,,,,,,,,,,,,,,,,,,,,86.8,,,,,88.2,,,89.4,90
Ecuador,,,,,,,,86.8,,,,,,,,90.5,,,,,,,,,,,92.3,,,,,,87.3,,87.1,93.3,93
Egypt,,53.6,,,,,,,,,,57,,,,,,,,,,67.2,,,,,,,,,83,74.6,,,,80.3,81
El Salvador,,,,,,,,,,,,,,,,,,77.4,,,,,,,,,,,,81.5,,86.7,84.9,87,86.8,87.1,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,94.8,,,,,,,,,,,97.1
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4,,,,,,,,,79.5
Estonia,,,,,,,,,,,,,,,99.9,,,,,,,,,,,99.8,,,,,,,,,,,99.8
Ethiopia,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,50,41.9,,49.1,,,,
Gabon,,,,,,,,,,,,,,,,,,,79.4,,,,,,,,,,,88.4,,,,,,,92.3
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,60.9
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,99.8
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,66.3,,,,,,,,,,78.3,
Greece,,,,,,,96.1,,,,,,,,,,96,,,,,,,,,,97.8,,,,,,,,,,98.4
Guatemala,,,,,,,,,,,,,,,,,,,,71.7,,,,,,,,75.4,,,,,,,,,81.2
Guinea,,,,,,,,,,,,,,,,,,,,,,32.9,,,,,,,42.9,,,,,,,36.8,
Guinea-Bissau,,,,,33.4,,,,,,,,,,,,,,,,,,,,,57.6,,,,,,,,,,,68.9
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.4,,
Haiti,,,,,,,,37.1,,,,,,,,,,,,,,,,,,,,,63.1,,,53.4,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8,,,,,,83.8,,,84.8,85.3
Hungary,,,,,,99.3,,,,,,,,,,,,,,99.3,,,,,,,,,,99.2,,,,,,,99.2
India,,,,,,,54.8,,,,,,,,,,61.6,,,,,,,,,,73.4,,,,,75.2,,,,,
Indonesia,,,,,,77.5,,,,,,,,,,88,,,,,,,,,,,,,,94,,95.2,,95.4,95.7,,95.6
Iran,,48.2,,,,,,,,,,63.1,,,,,74.3,,,,,79.9,,,,,,83.5,,,88,87.3,,89.3,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,84.1,,,,,,,,,,,86
Israel,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,97.5,,,,,,,,,,,,,,,,,,,,98.8,,,,,,,,,,99.2
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,74.1,,,,,,,,,,,,82.1
Jordan,,,,,80.5,,,,,,,,,,,,,,,,,,,,,,,,95.1,,95.2,,95.5,,,95.8,97.8
Kazakhstan,,,,,,,,,,,,,,,99.1,,,,,,,,,,99.8,,,,,,,,,,99.8,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,,,,,,,78.1,,,,
Kuwait,68,,,,,72.8,,,,,78.2,,,,,,,,,,81.1,,,,,,,,,,94.5,94.5,94.8,95,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,99.3,,,,,,,,,,99.5,,
Lao,,,,,,,,,,,,,,,,,,,,,73.5,,,,,81.4,77,,,,82.5,,,,,,
Latvia,,,,,,,,,,,,,,,99.8,,,,,,,,,,,99.8,,,,,,,,,,,99.8
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,65.5,,
Liberia,,,,,,,,,,44.9,,,,,,,,,,55.2,,,,,,,,,,61.8,,,60.8,,,,
Libya,,,,,,,,,,77,,,,,,,,,,88.3,,,,,,,,,,93.7,,,,,,,95.8
Lithuania,,,,,,,,,,,,,,,99.2,,,,,,,,,,,,99.6,,,,,,,,,,99.7
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,97.2,,,,,,,,98.2,,,,,,,,,98.7
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,76.5,,,,,,,,,67.4,,
Malawi,,,,,,,,,,,,,65.3,,,,,,,,,,,74.9,,,,,,,,,,,,72.1,
Malaysia,,,,,,78.2,,,,,,,,,,,88.6,,,,,,,,,92,,,,,,,,,,95.4,
Maldives,,,82.4,,,,,,,,92.1,,,,,95.9,,,,,96.2,,,,,96.2,,,,,,98.4,,,,,
Mali,,13.5,,,,,,,,,,,,,,,,,,,,,,26.7,,,,,32.7,,,34.9,,,,43.4,43.1
Malta,,,,,,,,,,,87.7,,,,,,,,,,86.4,,,,,,,,,,91.2,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,,,,,,,,,,,65.3
Mauritius,,,,,,,,,,,,,,,,85.2,,,,,,,,,,88.2,,,,,,,,,,,91.1
Mexico,,,,,,86.2,,,,,,,,,,90.3,,,,,,,,,,92.6,,92,,92.5,93.2,93.9,94.4,94.6,94.9,94.4,94.8
Moldova,,,,,,,,,,,,,,,98.6,,,,,,,,,,,98,,,,,,,,,,,99.5
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,96.8
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4
Morocco,,,,,,,,43.7,,,,,,,,,,,,55.2,,,,,,,,,,65.7,,,,68.4,68.9,,76.1
Mozambique,,,,,,44,,,,,,,,,,,,,,,,,54.8,,,,,,65.6,,,,,,67.3,,
Myanmar,,,,,,,,,85.8,,,,,,,,,,,,,,,,,93.9,,,,,,,,,,,95.1
Namibia,,,,,,,,,,,,,,,,,77.8,,,,,,,,,,86.8,,,,,,74.3,,,,
Nepal,,,,,,,31.7,,,,,,,,,,49.2,,,,,,,,,,62.7,,,,,,,,,,71.1
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,76.8,,,,78.1,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38,,,,42.9,,,,,,
Nigeria,,,,,,,,,,,,,,,,,67.7,,,,,,,,,,,,66.8,,,,,61.3,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9,,,,,90,,90.2,
Pakistan,,,,,,,35.4,,,,,,,,,,,,,,,,,55.3,,,,,,,64.1,67.7,,68.9,68.6,,
Palau,,,,,,93.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,92.2,,,,,,,96.5,,97.1,97.2,97.1,97.4,97.6,97.9
Panama,,,,,,88.1,,,,,,,,,,89.3,,,,,,,,,,92.5,,,,,,,,,,94.7,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,,,,,,,,,,,65.4
Paraguay,,,,,,,,81.1,,,,,,,,,,92,,,,,,,,,,,,,,,95.7,94.1,94.4,94.8,
Peru,,,,,,,90.1,,,,,,,,,,,,92.8,,,,,,,,,,,93.5,93.7,94.2,94.9,,,,
Philippines,,,,,,83.9,,,,,,,,,,94,,,,,,,,,,92.5,,,91.6,,,,,95,,,
Poland,,,,99.3,,,,,,,,,,,,,,,,99.7,,,,,,,,,,99.8,,,,,,,99.9
Portugal,,,,,,,84.8,,,,,,,,,,91.6,,,,,,,,,,,,,,,,,,,,97
Qatar,,,,,,,,,,,,76.8,,,,,,,,,,,84.2,,,,,,,89.1,,,93.8,94.3,95.1,96.5,
Romania,,,,,,,,,,,,,,,,,,98.5,,,,,,,,,,98.4,,,,,,,,,98.3
