,Class,Top word coefs 0,Top word coefs 1,Top word coefs 10,Top word coefs 11,Top word coefs 12,Top word coefs 13,Top word coefs 14,Top word coefs 15,Top word coefs 2,Top word coefs 3,Top word coefs 4,Top word coefs 5,Top word coefs 6,Top word coefs 7,Top word coefs 8,Top word coefs 9,Top words 0,Top words 1,Top words 10,Top words 11,Top words 12,Top words 13,Top words 14,Top words 15,Top words 2,Top words 3,Top words 4,Top words 5,Top words 6,Top words 7,Top words 8,Top words 9
0,KILL,0.006039661771907117,0.011397407177767063,,,,,,,0.011764130318784179,,,,,,,,resulted,ex,,,,,,,denied,,,,,,,
1,KILL,0.006058425660216531,0.011576940984463583,,,,,,,0.011793420185574648,,,,,,,,ministry,term,,,,,,,parliament,,,,,,,
2,KILL,0.0061522413567111954,0.011677175341098156,,,,,,,0.011915876108075015,,,,,,,,islamic,convicted,,,,,,,independent,,,,,,,
3,KILL,0.006353719764962274,0.011828754774942836,,,,,,,0.012082334838497008,,,,,,,,students,reporting,,,,,,,approved,,,,,,,
4,KILL,0.006370574268272675,0.011867107049047013,,,,,,,0.012186404171415728,,,,,,,,hundreds,wages,,,,,,,assembly,,,,,,,
5,KILL,0.007071696355373883,0.012103014612987191,,,,,,,0.012739004827225321,,,,,,,,region,demonstrations,,,,,,,seats,,,,,,,
6,KILL,0.007114745959008343,0.012315850397704654,,,,,,,0.012848912746544575,,,,,,,,jcf,electoral,,,,,,,elections held,,,,,,,
7,KILL,0.007287369765214396,0.01259906083419995,,,,,,,0.012859472808955537,,,,,,,,october,order,,,,,,,general,,,,,,,
8,KILL,0.007309799805815436,0.012628634987219804,,,,,,,0.01327901541327907,,,,,,,,extrajudicial,november,,,,,,,arbitrary,,,,,,,
9,KILL,0.007400180924187673,0.012740746233509806,,,,,,,0.01336153815130998,,,,,,,,police officers,launched,,,,,,,conviction,,,,,,,
10,KILL,0.007441735102395103,0.012888391438446044,,,,,,,0.013367750944015542,,,,,,,,ruf,closed,,,,,,,officer,,,,,,,
11,KILL,0.007588891396284155,0.013195348842950226,,,,,,,0.01341569300654342,,,,,,,,farm,september,,,,,,,association,,,,,,,
12,KILL,0.007746131676067218,0.013938160479457706,,,,,,,0.013529383769478334,,,,,,,,militia,facility,,,,,,,house,,,,,,,
13,KILL,0.00820484230265477,0.014263670707835765,,,,,,,0.014989470236162193,,,,,,,,young,meetings,,,,,,,agents,,,,,,,
14,KILL,0.008366092716248597,0.014371384135952946,,,,,,,0.015295618812885584,,,,,,,,estimated,duty,,,,,,,group,,,,,,,
15,KILL,0.008844769141984793,0.014667012897895376,,,,,,,0.016128033287219946,,,,,,,,killing,does,,,,,,,reports government,,,,,,,
16,KILL,0.009402753495262674,0.015472209676892867,,,,,,,0.01642397179249466,,,,,,,,high,opened,,,,,,,unlawful,,,,,,,
17,KILL,0.009484920648028106,0.015762814297643153,,,,,,,0.01776476001402581,,,,,,,,killed,allegedly,,,,,,,work,,,,,,,
18,KILL,0.010249213105460741,0.016860693500250466,,,,,,,0.018019375855705247,,,,,,,,deaths,established,,,,,,,arbitrary unlawful,,,,,,,
19,KILL,0.010673800000496485,0.024456366335843444,,,,,,,0.020180525164885877,,,,,,,,killings,died,,,,,,,charges,,,,,,,
0,DISAP,0.005443496755813251,0.007679657327625184,,,,,,,0.007217852743405548,,,,,,,,genocide,newspapers,,,,,,,government officials,,,,,,,
1,DISAP,0.005498411654691617,0.007694230897563314,,,,,,,0.007285529737775012,,,,,,,,december,complaints,,,,,,,assembly,,,,,,,
2,DISAP,0.005504896957867118,0.007875274357713718,,,,,,,0.007390005058357161,,,,,,,,announced,officers,,,,,,,various,,,,,,,
3,DISAP,0.005555834835324345,0.008078058157528836,,,,,,,0.007504236455983937,,,,,,,,authorities,related,,,,,,,freedom,,,,,,,
4,DISAP,0.005638018860409916,0.008422717283250909,,,,,,,0.007509642929121354,,,,,,,,custody,end,,,,,,,ngos,,,,,,,
5,DISAP,0.005790485620310921,0.008469910911045316,,,,,,,0.007558251050488674,,,,,,,,spanish,camps,,,,,,,judiciary,,,,,,,
6,DISAP,0.005805889697592073,0.008558079049889275,,,,,,,0.007597317666822457,,,,,,,,emergency,detention,,,,,,,approximately,,,,,,,
7,DISAP,0.0059153032851260974,0.008640210599332636,,,,,,,0.00767623439760778,,,,,,,,said,community,,,,,,,courts,,,,,,,
8,DISAP,0.0060610294441259495,0.008708277590090864,,,,,,,0.007803270452341631,,,,,,,,forced,centers,,,,,,,icrc,,,,,,,
9,DISAP,0.006106660611755699,0.008749478417315099,,,,,,,0.007959250617096073,,,,,,,,fgm,fn,,,,,,,decisions,,,,,,,
10,DISAP,0.006491060432432169,0.008758549052025945,,,,,,,0.00802323950218939,,,,,,,,unhcr,required,,,,,,,government generally,,,,,,,
11,DISAP,0.006564407649199049,0.008774978574731258,,,,,,,0.008094183836227375,,,,,,,,june,began,,,,,,,country,,,,,,,
12,DISAP,0.006586549296108965,0.009093519702372278,,,,,,,0.008188745616619378,,,,,,,,widespread,marriage,,,,,,,internal,,,,,,,
13,DISAP,0.006773498487040939,0.009741223652370753,,,,,,,0.008279985854402752,,,,,,,,killed,provincial,,,,,,,reports,,,,,,,
14,DISAP,0.007242952067410974,0.010040246873876153,,,,,,,0.008544764081047106,,,,,,,,regime,central,,,,,,,reports politically,,,,,,,
15,DISAP,0.007652926369634738,0.010061669079481243,,,,,,,0.009262434440212169,,,,,,,,activists,unknown,,,,,,,house,,,,,,,
16,DISAP,0.008333151419123138,0.01030848977885413,,,,,,,0.009328641343944868,,,,,,,,report,harassment,,,,,,,television,,,,,,,
17,DISAP,0.00837452365651924,0.010909758271474968,,,,,,,0.012407421863454029,,,,,,,,bacar,noted,,,,,,,pay,,,,,,,
18,DISAP,0.009096417226642674,0.01142098908781858,,,,,,,0.013301630899829145,,,,,,,,eta,april,,,,,,,including,,,,,,,
19,DISAP,0.011158170213003924,0.013825954901313596,,,,,,,0.013833944947759679,,,,,,,,anjouan,detained,,,,,,,independent,,,,,,,
0,TORT,0.009713450499576403,0.013378733927658404,,,,,,,0.011567841996499705,,,,,,,,beat,identified,,,,,,,accused,,,,,,,
1,TORT,0.009771208917516283,0.014020695603008365,,,,,,,0.011622953503417098,,,,,,,,lack,hate,,,,,,,appointed,,,,,,,
2,TORT,0.009871594822709322,0.01404274962766238,,,,,,,0.011639232312069364,,,,,,,,facility,protection,,,,,,,officials,,,,,,,
3,TORT,0.009879701834086554,0.014059950994678928,,,,,,,0.01167871813739662,,,,,,,,health care,force,,,,,,,year,,,,,,,
4,TORT,0.010411048387489514,0.01411531228680996,,,,,,,0.011745974249444104,,,,,,,,content,similar,,,,,,,practices reports,,,,,,,
5,TORT,0.010419779245704903,0.014117457181038455,,,,,,,0.011840843656634119,,,,,,,,association,november,,,,,,,months,,,,,,,
6,TORT,0.010545300199780111,0.01450557638221961,,,,,,,0.012183505048580918,,,,,,,,committee,individuals,,,,,,,judiciary,,,,,,,
7,TORT,0.01067605909777543,0.014944434422844587,,,,,,,0.01224276198485527,,,,,,,,arbitration,report,,,,,,,allowed,,,,,,,
8,TORT,0.010945721233508295,0.01515402848538603,,,,,,,0.012316962548111394,,,,,,,,subjected,laws,,,,,,,procedures,,,,,,,
9,TORT,0.01131155774933211,0.015338089992612835,,,,,,,0.01277279601692493,,,,,,,,april,allow,,,,,,,age,,,,,,,
10,TORT,0.011385642182028064,0.01543475828845057,,,,,,,0.013014455143034252,,,,,,,,tribal,associations,,,,,,,claimed,,,,,,,
11,TORT,0.011733806597904036,0.015686666049858692,,,,,,,0.013212742114981947,,,,,,,,set,press,,,,,,,enforced,,,,,,,
12,TORT,0.011801516566492384,0.015743629322110663,,,,,,,0.013518558080290692,,,,,,,,unions,end,,,,,,,individual,,,,,,,
13,TORT,0.011893590185581483,0.01582126664749719,,,,,,,0.01384095486898542,,,,,,,,agriculture,problems,,,,,,,government officials,,,,,,,
14,TORT,0.012436476784774844,0.0159373182595464,,,,,,,0.014172455255917808,,,,,,,,young,assault,,,,,,,asylum,,,,,,,
15,TORT,0.01298763518795826,0.016399426779609507,,,,,,,0.015601728977155522,,,,,,,,regarding,camps,,,,,,,center,,,,,,,
16,TORT,0.013297696742060055,0.017121104188185785,,,,,,,0.015952857619666798,,,,,,,,used,abuse,,,,,,,employed prison,,,,,,,
17,TORT,0.01364374704780585,0.01789281787543914,,,,,,,0.018305045405082092,,,,,,,,believed,act,,,,,,,officials employed,,,,,,,
18,TORT,0.01408772117586651,0.02082086191252578,,,,,,,0.021042072212128306,,,,,,,,torture,involving,,,,,,,reports government,,,,,,,
19,TORT,0.016734875521460885,0.026988537610689683,,,,,,,0.026742075472489073,,,,,,,,prostitution,july,,,,,,,employed,,,,,,,
0,POLPRIS,0.007070951318598643,0.010270123816904883,,,,,,,0.009628013371177302,,,,,,,,ministry justice,expressed,,,,,,,lgbt,,,,,,,
1,POLPRIS,0.007143519260714826,0.010461152712183995,,,,,,,0.009647930568190112,,,,,,,,remained,protect,,,,,,,financial,,,,,,,
2,POLPRIS,0.007208878436940474,0.010605864889514767,,,,,,,0.009652596469176327,,,,,,,,second,months,,,,,,,addition,,,,,,,
3,POLPRIS,0.007255012613970414,0.01074152886136139,,,,,,,0.009691784652780934,,,,,,,,applications,case,,,,,,,free,,,,,,,
4,POLPRIS,0.007879716302746656,0.010807275657783375,,,,,,,0.009973532487919809,,,,,,,,government continued,study,,,,,,,effective,,,,,,,
5,POLPRIS,0.007959908589302313,0.010833869341677736,,,,,,,0.010148740344009137,,,,,,,,access,irregular,,,,,,,held,,,,,,,
6,POLPRIS,0.008084870225411368,0.010863659097040897,,,,,,,0.01015922714987702,,,,,,,,march,la,,,,,,,immigration,,,,,,,
7,POLPRIS,0.008133419621599716,0.010871998671026518,,,,,,,0.01091071247766957,,,,,,,,criminal,editor,,,,,,,investigated,,,,,,,
8,POLPRIS,0.008360583813590892,0.011027039584056235,,,,,,,0.011044467880382752,,,,,,,,trial,questioned,,,,,,,february,,,,,,,
9,POLPRIS,0.008438877069873927,0.011180260887448933,,,,,,,0.011395964045169548,,,,,,,,previous,islam,,,,,,,crime,,,,,,,
10,POLPRIS,0.00858770971387642,0.011197573367576064,,,,,,,0.011589491843595997,,,,,,,,corruption,force,,,,,,,officer,,,,,,,
