,CountryName,Report
0,Angola,"There were reports the government or its agents committed arbitrary or unlawful killings. For example, on June 1, an officer with the Criminal Investigation Services (SIC) shot and killed a robbery suspect in broad daylight while the suspect lay injured on the ground surrounded by SIC officers. A bystander filmed the killing, and the video footage circulated widely on social media. On June 10, the Ministry of Interior, which oversees SIC, ordered an investigation and placed the SIC officer who killed the suspect in preventive detention. Authorities charged him as well as six other officers present at the scene with qualified homicide. The trial of the seven officers continued at year’s end. In a 2017 report, The Field of Death, journalist and human rights activist Rafael Marques stated a SIC campaign of extrajudicial killings of young men in Luanda. According to Marques, many SIC victims were accused of petty criminality or otherwise labeled as “undesirable” by residents of their respective communities. The report stated the national police at times coordinated with SIC officers in the killings. In December 2017 the public prosecutor announced the creation of a commission of inquiry to investigate the allegations, and the investigation continued at year’s end. On August 14, the Luanda Provincial Tribunal convicted First Sergeant Jose Tadi and sentenced him to 18 years in prison and a fine of one million kwanzas ($3,450) for the 2016 killing of 14-year-old Rufino Antonio during an Angolan Armed Forces (FAA) demolition operation of allegedly unauthorized housing. The court convicted three other FAA soldiers for their involvement in the case and sentenced each of them to one year in prison. In September the family of Rufino Antonio filed a lawsuit against the government for failing to try or hold accountable the FAA commanding officers who oversaw the demolition operation. At year’s end the Supreme Court had not rendered a decision on the appeal of the 28-year sentence imposed in 2016 on Jose Kalupeteka, leader of the Light of the World religious sect, convicted in connection with the 2015 clashes between members of his group and police that left 13 civilians and nine police officers dead, according to official figures."
1,Benin,There were no reports the government or its agents committed arbitrary or unlawful killings.
2,Botswana,There were no reports the government or its agents committed arbitrary or unlawful killings.
3,Burkina Faso,"Unknown assailants, but assumed to belong in some capacity to violent extremist organizations, waged attacks on security forces throughout the year. These included attacks on law enforcement, military, customs, and park ranger outposts, patrols, and the use of improvised explosive devices (IEDs) detonated under security vehicles. On March 2, in downtown Ouagadougou, terrorist organization Jama’at Nasr al-Islam wal Muslimin (JNIM) attacked National Army Headquarters and the French embassy, killing eight security personnel. Between August and October, dozens of Burkinabe, including three civilians, died in attacks conducted in the Est Region."
4,Burundi,"There were numerous reports the government or its agents committed arbitrary or unlawful killings, often against perceived supporters of the political opposition or those who exercised their lawful rights. The banned NGO Ligue Iteka, which continued operating from outside the country, documented 309 killings by the end of September, many allegedly committed by agents of the security services or members of the Imbonerakure. The assessments of Ligue Iteka and other human rights groups differed on the number of killings for which agents of the state or ruling party were likely responsible. Responsibility for arbitrary killings and exact statistics were difficult to determine due to the government’s restrictions on human rights monitors and civil society organizations (CSOs) and refusal of access to international bodies. Investigations and prosecutions of government officials and members of the ruling party who allegedly committed arbitrary or unlawful killings were rare. The 2018 report of the UN Commission of Inquiry (UN COI), whose members were denied access to the country by the government but who conducted interviews with more than 400 witnesses living in exile, restated its conclusions from the previous year and found “reason to believe that arbitrary killings remain a widespread practice in Burundi” and that members of the National Intelligence Service (SNR), police, and Imbonerakure were mostly responsible for these killings. The UN COI reported that the practice of hiding bodies, including by weighing them down with stones and throwing them into rivers or by transporting them from one province or district to another to make it difficult to identify victims, persisted. As previously reported the UN COI noted that when bodies are found, they are often buried without an investigation. The commission stated that killings were increasingly taking place in a clandestine fashion rendering documentation more difficult. The report stated that the UN COI received no reports of killings on a scale commensurate with those in 2015 and 2016, with the exception of a May 11 armed group attack in Cibitoke province of a more severe nature. The report also stated that the UN COI had reasonable grounds to believe that crimes including killings, imprisonment, torture, sexual violence, and political persecution amounted to crimes against humanity. NGOs also reported numerous cases of extrajudicial killings committed by police, SNR, and military personnel, sometimes with involvement of local government officials. Local and international organizations also charged that members of the Imbonerakure were responsible for some unlawful killings, including summary executions. Human rights organizations documented violence, including alleged killings, in advance of the May referendum. Human Rights Watch (HRW) documented the death of Simon Bizimana on March 14 following his arrest and alleged torture during a month-long detention in prison for refusing to register as a voter, which by law is not a crime. During a video, in which Bizimana was questioned by a government official prior to his arrest, he stated he would not participate in elections due to reasons of religious conscience. A hospital certificate stated that the cause of death was malaria, but witness accounts alleged his condition worsened following beatings with iron rods inflicted by police. HRW also documented the killing on February 24 of Dismas Sinzinkayo, a member of the nonrecognized Forces Nationales de Liberation party led by Agathon Rwasa (FNL-Rwasa), by members of the Imbonerakure following his refusal to show proof of voter registration. On May 13, during the two-week official campaign period before the referendum, a violent confrontation between members of Imbonerakure and FNL-Rwasa supporters in Kirundo province resulted in the death of two FNL-Rwasa members. Burundian armed opposition groups, primarily operating from the eastern Democratic Republic of the Congo (DRC), conducted periodic cross-border forays into Burundi that resulted in killings. On May 11, an armed group crossed the border from the DRC and attacked the town of Ruhagarika in Cibitoke province, killing 26, including women and children. The government stated that some victims were burned alive. Following the incident, the government established a domestic investigative commission, but as of November it had not publicly released its findings. On September 26, police announced the arrest of an alleged leader of the May 11 attack. The individual, Dismas Ndayisaba, stated that he was a member of the armed group RED-Tabara and that the attack was ordered by Alexis Sinduhije, an opposition figure in exile associated with RED-Tabara. Spokespersons for Sinduhije denied the accusation. As of mid-October there were at least 48 grenade attacks throughout the country, resulting in at least 17 fatalities. It was often difficult to identify perpetrators and motives behind the attacks. While some attacks specifically targeted police and other members of the security services with apparent political motives, others were likely motivated by personal or business vendettas. Responsibility for attacks was often unclear."
5,Cabo Verde,There were no reports that the government or its agents committed arbitrary or unlawful killings.
6,Cameroon,"There were several reports that the government or its agents committed arbitrary and unlawful killings through excessive use of force in the execution of official duties. In July, Human Rights Watch reported that, during government operations in 12 villages in the Northwest and Southwest Regions between January and April, government security forces shot and killed more than a dozen civilians, including at least seven persons with intellectual or developmental disabilities who had difficulty fleeing. On May 25, in Menka-Pinyin, Santa Subdivision of the Northwest Region, elements of the Gendarmerie, the 51st Motorized Infantry Brigade, and the Special Operations Group of the National Police carried out a raid on a location believed to harbor Anglophone activists, killing 27 persons, according to official sources. Security forces battling Anglophone secessionists in the Northwest and Southwest Regions allegedly killed two clerics. Anglophone separatists attacked and killed several dozen civilians considered loyal to the central government and members of defense and security forces in these two regions. According to the government’s Emergency Humanitarian Assistance Plan, as of June 11, the death toll attributed to separatists within defense and security forces was 84, including 32 members of defense forces, 42 gendarmes, seven policemen, two prison guards, and one Eco-guard, some of whom were mutilated or decapitated and their bodies exhibited on social media. Civilian victims included the following: the chief of Esukutan in Toko Subdivision of the Southwest Region, murdered on February 5; the divisional officer for Batibo in the Northwest, abducted on February 11 and subsequently killed; and Ashu Thomas Nkongho, discipline master of the government bilingual high school in Kossala, Meme Division of the Southwest Region, killed on school premises on April 25. Unidentified gunmen killed a local chief in a church and a priest, supposedly because of their alleged opposition to secession by the Northwest and Southwest Regions. Boko Haram and ISIS-West Africa (ISIS-WA) continued killing civilians, including members of vigilance committees, which were organized groups of local residents cooperating with government forces in the fight against Boko Haram, and members of defense and security forces in the Far North Region. According to the L’Oeil du Sahel newspaper, as of June 30, at least 153 civilians and 12 members of defense and security forces had been killed in the attacks."
7,Central African Republic,"There were no reports that the government or its agents committed arbitrary or unlawful killings during the year. There were, however, several reports that armed groups committed arbitrary or unlawful killings in which government agents were implicated, according to reports by MINUSCA. Armed rebel groups, particularly members of the various factions of ex-Seleka and Anti-balaka, killed civilians, especially persons suspected of being members or sympathizers of opposing parties in the conflict (see section 1.g.). The killings, often reprisals in nature, included summary executions and deliberate and indiscriminate attacks on civilians. In May members of an armed group killed 26 persons and wounded more than 200 others in an attack on the Notre Dame Church of Fatima in the sixth district of Bangui. Separate confrontations on May 14 and 15 between the Union for Peace (UPC) and Anti-balaka elements in Bambari resulted in 32 dead and 23 wounded civilians and armed group members. Clashes among rival groups in Bangui’s PK5 neighborhood on May 23 resulted in deaths of 12 civilians. There were numerous killings of civilians by the Lord’s Resistance Army (LRA), a Ugandan rebel group that operated in eastern regions of the country, and other armed groups including the Anti-balaka, Reclamation, Return, and Rehabilitation (3R), Revolution and Justice (RJ), the Patriotic Movement for the Central African Republic (MPC), UPC, the Popular Front for the Renaissance in the Central African Republic (FPRC), and the Democratic Front of the Central African People (FDPC) (see section 1.g.). According to the nongovernmental organization (NGO) Invisible Children, the LRA perpetrated at least 22 attacks on civilians in the Mbomou Uele border region in January. Five civilians were killed and 26 abducted. In February the LRA reportedly committed 30 attacks, killing at least 15 civilians and abducting 25 others. The 3R, MPC, UPC, FPRC, and Anti-balaka groups participated in ethnic killings related to cattle theft (see section 6)."
8,Chad,"There were reports that the government or its agents committed arbitrary and unlawful killings. Human rights groups credibly accused security forces of killing and torturing with impunity, according to Freedom House. Interethnic violence resulted in deaths (see section 6). In April, following recommendations of judges investigating the cases, a court authorized the release of 118 Boko Haram suspects whom the government had insufficient evidence to detain. The remaining detainees with alleged terrorist charges were in Koro-Toro prison awaiting trial. The approximately 16 children and women the government held in 2017 in the Amsinene prison were released in June. The children had been kept in custody not because of their involvement in any criminal offense, but because no other child care was available."
9,Comoros,There was a report that the government or its agents committed an arbitrary or unlawful killing. In late September a recently released detainee died allegedly due to torture (see section 1.c.).
