,Class,y_test,y_pred
1478,PHYSINT,1.0,5.0
727,PHYSINT,4.0,5.0
1103,PHYSINT,4.0,3.0
1475,PHYSINT,3.0,2.0
696,PHYSINT,3.0,5.0
1203,PHYSINT,0.0,1.0
949,PHYSINT,8.0,7.0
1957,PHYSINT,8.0,8.0
736,PHYSINT,7.0,6.0
995,PHYSINT,6.0,8.0
1768,PHYSINT,4.0,4.0
1499,PHYSINT,6.0,6.0
137,PHYSINT,4.0,4.0
403,PHYSINT,3.0,2.0
388,PHYSINT,2.0,3.0
909,PHYSINT,3.0,4.0
570,PHYSINT,8.0,5.0
1105,PHYSINT,2.0,4.0
90,PHYSINT,6.0,6.0
1758,PHYSINT,7.0,6.0
1637,PHYSINT,7.0,7.0
1022,PHYSINT,8.0,8.0
432,PHYSINT,2.0,1.0
1587,PHYSINT,5.0,4.0
1767,PHYSINT,3.0,3.0
664,PHYSINT,7.0,7.0
713,PHYSINT,4.0,4.0
1618,PHYSINT,8.0,8.0
426,PHYSINT,5.0,5.0
1284,PHYSINT,1.0,2.0
887,PHYSINT,7.0,8.0
1520,PHYSINT,7.0,7.0
605,PHYSINT,7.0,6.0
1400,PHYSINT,7.0,8.0
918,PHYSINT,6.0,5.0
1059,PHYSINT,4.0,4.0
2033,PHYSINT,4.0,4.0
533,PHYSINT,5.0,5.0
443,PHYSINT,8.0,7.0
257,PHYSINT,6.0,5.0
1731,PHYSINT,3.0,2.0
1337,PHYSINT,5.0,5.0
1119,PHYSINT,5.0,6.0
1964,PHYSINT,6.0,6.0
1488,PHYSINT,4.0,4.0
2071,PHYSINT,7.0,8.0
1443,PHYSINT,7.0,7.0
465,PHYSINT,6.0,6.0
245,PHYSINT,1.0,1.0
1200,PHYSINT,1.0,1.0
1266,PHYSINT,6.0,5.0
1788,PHYSINT,8.0,8.0
567,PHYSINT,4.0,2.0
621,PHYSINT,8.0,8.0
611,PHYSINT,8.0,4.0
1780,PHYSINT,5.0,6.0
447,PHYSINT,8.0,8.0
1469,PHYSINT,6.0,6.0
870,PHYSINT,7.0,7.0
1838,PHYSINT,2.0,3.0
341,PHYSINT,5.0,5.0
1128,PHYSINT,4.0,4.0
1104,PHYSINT,6.0,6.0
958,PHYSINT,4.0,4.0
895,PHYSINT,1.0,5.0
405,PHYSINT,1.0,1.0
795,PHYSINT,5.0,4.0
573,PHYSINT,2.0,3.0
948,PHYSINT,3.0,3.0
1377,PHYSINT,5.0,4.0
830,PHYSINT,7.0,7.0
84,PHYSINT,7.0,7.0
836,PHYSINT,7.0,7.0
973,PHYSINT,4.0,3.0
140,PHYSINT,3.0,6.0
34,PHYSINT,2.0,4.0
1649,PHYSINT,3.0,4.0
317,PHYSINT,2.0,2.0
1846,PHYSINT,6.0,6.0
1929,PHYSINT,1.0,0.0
1409,PHYSINT,8.0,8.0
707,PHYSINT,7.0,4.0
831,PHYSINT,8.0,8.0
436,PHYSINT,1.0,1.0
1051,PHYSINT,6.0,7.0
497,PHYSINT,1.0,4.0
1398,PHYSINT,2.0,2.0
1963,PHYSINT,6.0,7.0
1484,PHYSINT,4.0,5.0
1739,PHYSINT,5.0,6.0
1771,PHYSINT,6.0,6.0
827,PHYSINT,7.0,7.0
740,PHYSINT,7.0,7.0
424,PHYSINT,5.0,5.0
551,PHYSINT,0.0,0.0
1927,PHYSINT,6.0,7.0
660,PHYSINT,7.0,7.0
1613,PHYSINT,6.0,6.0
1249,PHYSINT,8.0,8.0
2017,PHYSINT,2.0,3.0
368,PHYSINT,5.0,5.0
775,PHYSINT,5.0,4.0
1421,PHYSINT,8.0,8.0
1307,PHYSINT,4.0,4.0
323,PHYSINT,4.0,7.0
2002,PHYSINT,5.0,4.0
1942,PHYSINT,8.0,8.0
979,PHYSINT,6.0,6.0
1585,PHYSINT,4.0,5.0
710,PHYSINT,8.0,6.0
879,PHYSINT,7.0,7.0
1259,PHYSINT,8.0,8.0
1326,PHYSINT,5.0,5.0
1857,PHYSINT,4.0,4.0
1115,PHYSINT,7.0,7.0
296,PHYSINT,7.0,6.0
1219,PHYSINT,1.0,1.0
236,PHYSINT,4.0,3.0
1589,PHYSINT,7.0,7.0
1575,PHYSINT,2.0,2.0
1258,PHYSINT,5.0,5.0
929,PHYSINT,7.0,7.0
171,PHYSINT,5.0,5.0
150,PHYSINT,6.0,7.0
1170,PHYSINT,6.0,6.0
377,PHYSINT,1.0,0.0
384,PHYSINT,4.0,4.0
871,PHYSINT,8.0,8.0
294,PHYSINT,7.0,7.0
833,PHYSINT,2.0,1.0
1420,PHYSINT,0.0,1.0
1109,PHYSINT,6.0,5.0
680,PHYSINT,5.0,6.0
387,PHYSINT,7.0,7.0
2061,PHYSINT,6.0,5.0
494,PHYSINT,7.0,7.0
434,PHYSINT,7.0,7.0
1323,PHYSINT,5.0,5.0
1361,PHYSINT,7.0,8.0
2027,PHYSINT,4.0,4.0
557,PHYSINT,5.0,4.0
512,PHYSINT,7.0,6.0
1134,PHYSINT,2.0,2.0
694,PHYSINT,8.0,8.0
1423,PHYSINT,8.0,7.0
2014,PHYSINT,5.0,4.0
302,PHYSINT,6.0,8.0
1378,PHYSINT,4.0,5.0
1061,PHYSINT,6.0,7.0
1024,PHYSINT,8.0,8.0
2011,PHYSINT,6.0,5.0
272,PHYSINT,4.0,5.0
27,PHYSINT,5.0,5.0
1264,PHYSINT,7.0,7.0
82,PHYSINT,5.0,4.0
892,PHYSINT,3.0,6.0
379,PHYSINT,1.0,1.0
1278,PHYSINT,5.0,6.0
1582,PHYSINT,2.0,4.0
1763,PHYSINT,7.0,7.0
1449,PHYSINT,7.0,7.0
1045,PHYSINT,7.0,7.0
583,PHYSINT,2.0,3.0
1256,PHYSINT,7.0,7.0
412,PHYSINT,5.0,5.0
2010,PHYSINT,3.0,3.0
1357,PHYSINT,4.0,4.0
1114,PHYSINT,5.0,4.0
693,PHYSINT,5.0,5.0
654,PHYSINT,4.0,3.0
2064,PHYSINT,5.0,5.0
794,PHYSINT,7.0,6.0
1218,PHYSINT,5.0,5.0
1333,PHYSINT,6.0,4.0
145,PHYSINT,2.0,4.0
1709,PHYSINT,2.0,2.0
885,PHYSINT,7.0,7.0
1363,PHYSINT,4.0,4.0
923,PHYSINT,5.0,4.0
498,PHYSINT,8.0,8.0
313,PHYSINT,2.0,1.0
1852,PHYSINT,5.0,5.0
521,PHYSINT,5.0,4.0
496,PHYSINT,6.0,6.0
280,PHYSINT,7.0,8.0
217,PHYSINT,6.0,8.0
1567,PHYSINT,6.0,5.0
1407,PHYSINT,4.0,1.0
881,PHYSINT,2.0,4.0
1984,PHYSINT,7.0,7.0
1321,PHYSINT,4.0,4.0
1311,PHYSINT,7.0,7.0
1888,PHYSINT,2.0,2.0
40,PHYSINT,4.0,3.0
1899,PHYSINT,5.0,5.0
1004,PHYSINT,2.0,2.0
620,PHYSINT,7.0,7.0
160,PHYSINT,7.0,7.0
806,PHYSINT,7.0,7.0
207,PHYSINT,8.0,6.0
1842,PHYSINT,4.0,4.0
768,PHYSINT,5.0,4.0
2058,PHYSINT,3.0,2.0
1371,PHYSINT,5.0,5.0
61,PHYSINT,8.0,8.0
2004,PHYSINT,6.0,5.0
1810,PHYSINT,4.0,4.0
1568,PHYSINT,4.0,4.0
1426,PHYSINT,8.0,8.0
1212,PHYSINT,8.0,8.0
1044,PHYSINT,7.0,7.0
1598,PHYSINT,8.0,6.0
1839,PHYSINT,0.0,0.0
304,PHYSINT,5.0,6.0
1761,PHYSINT,7.0,6.0
1597,PHYSINT,6.0,6.0
699,PHYSINT,6.0,6.0
1702,PHYSINT,0.0,2.0
900,PHYSINT,2.0,2.0
2036,PHYSINT,7.0,7.0
1792,PHYSINT,7.0,7.0
98,PHYSINT,5.0,5.0
77,PHYSINT,7.0,7.0
1000,PHYSINT,3.0,3.0
838,PHYSINT,7.0,7.0
1628,PHYSINT,8.0,8.0
93,PHYSINT,7.0,7.0
433,PHYSINT,2.0,3.0
1500,PHYSINT,0.0,0.0
270,PHYSINT,5.0,7.0
89,PHYSINT,8.0,8.0
206,PHYSINT,2.0,3.0
799,PHYSINT,2.0,3.0
1365,PHYSINT,6.0,5.0
1126,PHYSINT,4.0,4.0
1474,PHYSINT,7.0,7.0
1697,PHYSINT,4.0,4.0
1999,PHYSINT,7.0,7.0
1861,PHYSINT,6.0,6.0
569,PHYSINT,0.0,0.0
1102,PHYSINT,3.0,3.0
627,PHYSINT,7.0,7.0
548,PHYSINT,6.0,3.0
54,PHYSINT,0.0,1.0
993,PHYSINT,8.0,7.0
1367,PHYSINT,2.0,2.0
1905,PHYSINT,3.0,5.0
1167,PHYSINT,0.0,1.0
1948,PHYSINT,8.0,7.0
282,PHYSINT,8.0,8.0
96,PHYSINT,7.0,8.0
1988,PHYSINT,7.0,6.0
2032,PHYSINT,0.0,1.0
124,PHYSINT,7.0,7.0
826,PHYSINT,8.0,8.0
510,PHYSINT,7.0,7.0
1961,PHYSINT,3.0,4.0
456,PHYSINT,8.0,7.0
1452,PHYSINT,6.0,6.0
1074,PHYSINT,1.0,2.0
38,PHYSINT,4.0,5.0
1177,PHYSINT,5.0,5.0
703,PHYSINT,4.0,3.0
1840,PHYSINT,1.0,1.0
1157,PHYSINT,7.0,7.0
572,PHYSINT,1.0,1.0
1085,PHYSINT,4.0,6.0
1634,PHYSINT,7.0,7.0
1651,PHYSINT,7.0,7.0
449,PHYSINT,2.0,0.0
1657,PHYSINT,4.0,4.0
53,PHYSINT,7.0,7.0
397,PHYSINT,3.0,2.0
212,PHYSINT,2.0,1.0
352,PHYSINT,8.0,7.0
1466,PHYSINT,5.0,5.0
1996,PHYSINT,6.0,6.0
970,PHYSINT,2.0,2.0
712,PHYSINT,7.0,7.0
989,PHYSINT,6.0,6.0
1501,PHYSINT,4.0,3.0
678,PHYSINT,7.0,7.0
1317,PHYSINT,0.0,0.0
1181,PHYSINT,5.0,5.0
1894,PHYSINT,3.0,2.0
233,PHYSINT,5.0,4.0
685,PHYSINT,8.0,8.0
1550,PHYSINT,4.0,2.0
564,PHYSINT,2.0,2.0
1639,PHYSINT,0.0,1.0
701,PHYSINT,3.0,2.0
1685,PHYSINT,5.0,6.0
1724,PHYSINT,6.0,8.0
1490,PHYSINT,6.0,7.0
1379,PHYSINT,6.0,5.0
522,PHYSINT,7.0,7.0
723,PHYSINT,6.0,6.0
1855,PHYSINT,4.0,3.0
158,PHYSINT,7.0,6.0
386,PHYSINT,2.0,1.0
975,PHYSINT,6.0,7.0
550,PHYSINT,1.0,1.0
1050,PHYSINT,8.0,7.0
1235,PHYSINT,7.0,7.0
1773,PHYSINT,7.0,7.0
1519,PHYSINT,0.0,0.0
242,PHYSINT,3.0,2.0
1692,PHYSINT,3.0,4.0
1223,PHYSINT,1.0,4.0
1795,PHYSINT,7.0,6.0
1281,PHYSINT,5.0,5.0
337,PHYSINT,5.0,4.0
515,PHYSINT,7.0,4.0
87,PHYSINT,8.0,8.0
1305,PHYSINT,0.0,0.0
725,PHYSINT,5.0,5.0
481,PHYSINT,7.0,7.0
477,PHYSINT,6.0,7.0
1497,PHYSINT,4.0,4.0
464,PHYSINT,7.0,8.0
999,PHYSINT,6.0,5.0
938,PHYSINT,8.0,8.0
661,PHYSINT,8.0,8.0
1194,PHYSINT,2.0,4.0
2028,PHYSINT,4.0,6.0
1718,PHYSINT,6.0,6.0
1616,PHYSINT,8.0,8.0
1978,PHYSINT,7.0,7.0
1743,PHYSINT,0.0,0.0
1518,PHYSINT,7.0,7.0
1903,PHYSINT,6.0,6.0
1263,PHYSINT,8.0,8.0
1042,PHYSINT,7.0,6.0
1732,PHYSINT,4.0,4.0
1623,PHYSINT,8.0,7.0
331,PHYSINT,4.0,4.0
1463,PHYSINT,8.0,8.0
305,PHYSINT,2.0,3.0
1329,PHYSINT,5.0,5.0
1638,PHYSINT,4.0,3.0
613,PHYSINT,5.0,5.0
2063,PHYSINT,8.0,8.0
1506,PHYSINT,2.0,1.0
1052,PHYSINT,4.0,4.0
623,PHYSINT,5.0,5.0
1802,PHYSINT,8.0,8.0
1935,PHYSINT,8.0,8.0
